,file,number,date_time,weight,Sex_Limit_Category,species,farm,house,gender,pen
98,JC06M05,10,2022-10-07 13:20:18,1.323,not used,J,C,06,M,05
99,JC06M05,11,2022-10-07 13:20:26,1.430,not used,J,C,06,M,05
100,JC06M05,12,2022-10-07 13:20:34,1.487,not used,J,C,06,M,05
101,JC06M05,13,2022-10-07 13:20:45,1.510,not used,J,C,06,M,05
102,JC06M05,14,2022-10-07 13:20:53,1.403,not used,J,C,06,M,05
103,JC06M05,15,2022-10-07 13:21:03,1.623,not used,J,C,06,M,05
104,JC06M05,16,2022-10-07 13:21:11,1.594,not used,J,C,06,M,05
105,JC06M05,17,2022-10-07 13:21:19,1.448,not used,J,C,06,M,05
106,JC06M05,18,2022-10-07 13:21:28,1.445,not used,J,C,06,M,05
107,JC06M05,19,2022-10-07 13:21:36,1.678,not used,J,C,06,M,05
108,JC06M05,20,2022-10-07 13:21:43,1.233,not used,J,C,06,M,05
117,JC06M06,1,2022-10-07 13:22:26,1.324,not used,J,C,06,M,06
118,JC06M06,2,2022-10-07 13:22:36,1.650,not used,J,C,06,M,06
119,JC06M06,3,2022-10-07 13:22:43,1.495,not used,J,C,06,M,06
120,JC06M06,4,2022-10-07 13:22:50,1.225,not used,J,C,06,M,06
121,JC06M06,5,2022-10-07 13:22:57,1.237,not used,J,C,06,M,06
122,JC06M06,6,2022-10-07 13:23:05,1.522,not used,J,C,06,M,06
123,JC06M06,7,2022-10-07 13:23:13,1.538,not used,J,C,06,M,06
124,JC06M06,8,2022-10-07 13:23:21,1.486,not used,J,C,06,M,06
125,JC06M06,9,2022-10-07 13:23:27,1.229,not used,J,C,06,M,06
126,JC06M06,10,2022-10-07 13:23:34,1.723,not used,J,C,06,M,06
127,JC06M06,11,2022-10-07 13:23:41,1.494,not used,J,C,06,M,06
128,JC06M06,12,2022-10-07 13:23:52,1.473,not used,J,C,06,M,06
129,JC06M06,13,2022-10-07 13:24:00,1.340,not used,J,C,06,M,06
130,JC06M06,14,2022-10-07 13:24:08,1.436,not used,J,C,06,M,06
131,JC06M06,15,2022-10-07 13:24:15,1.449,not used,J,C,06,M,06
132,JC06M06,16,2022-10-07 13:24:23,1.453,not used,J,C,06,M,06
133,JC06M06,17,2022-10-07 13:24:30,1.491,not used,J,C,06,M,06
134,JC06M06,18,2022-10-07 13:24:38,1.230,not used,J,C,06,M,06
135,JC06M06,19,2022-10-07 13:24:51,1.577,not used,J,C,06,M,06
136,JC06M06,20,2022-10-07 13:24:59,1.412,not used,J,C,06,M,06
145,JC06M07,1,2022-10-07 13:25:39,1.424,not used,J,C,06,M,07
146,JC06M07,2,2022-10-07 13:25:47,1.434,not used,J,C,06,M,07
147,JC06M07,3,2022-10-07 13:26:00,1.358,not used,J,C,06,M,07
148,JC06M07,4,2022-10-07 13:26:16,1.404,not used,J,C,06,M,07
149,JC06M07,5,2022-10-07 13:26:24,1.411,not used,J,C,06,M,07
150,JC06M07,6,2022-10-07 13:26:31,1.333,not used,J,C,06,M,07
151,JC06M07,7,2022-10-07 13:26:38,1.372,not used,J,C,06,M,07
152,JC06M07,8,2022-10-07 13:26:45,1.397,not used,J,C,06,M,07
153,JC06M07,9,2022-10-07 13:26:53,1.601,not used,J,C,06,M,07
154,JC06M07,10,2022-10-07 13:27:00,1.531,not used,J,C,06,M,07
155,JC06M07,11,2022-10-07 13:27:07,1.513,not used,J,C,06,M,07
156,JC06M07,12,2022-10-07 13:27:15,1.339,not used,J,C,06,M,07
157,JC06M07,13,2022-10-07 13:27:23,1.322,not used,J,C,06,M,07
158,JC06M07,14,2022-10-07 13:27:30,1.275,not used,J,C,06,M,07
159,JC06M07,15,2022-10-07 13:27:37,1.509,not used,J,C,06,M,07
160,JC06M07,16,2022-10-07 13:27:43,1.310,not used,J,C,06,M,07
161,JC06M07,17,2022-10-07 13:27:52,1.302,not used,J,C,06,M,07
162,JC06M07,18,2022-10-07 13:28:01,1.271,not used,J,C,06,M,07
163,JC06M07,19,2022-10-07 13:28:08,1.432,not used,J,C,06,M,07
164,JC06M07,20,2022-10-07 13:28:16,1.404,not used,J,C,06,M,07
173,JC06F13,1,2022-10-07 13:29:48,0.872,not used,J,C,06,F,13
174,JC06F13,2,2022-10-07 13:29:55,0.855,not used,J,C,06,F,13
175,JC06F13,3,2022-10-07 13:30:03,0.994,not used,J,C,06,F,13
176,JC06F13,4,2022-10-07 13:30:11,0.820,not used,J,C,06,F,13
177,JC06F13,5,2022-10-07 13:30:18,0.902,not used,J,C,06,F,13
178,JC06F13,6,2022-10-07 13:30:24,1.103,not used,J,C,06,F,13
179,JC06F13,7,2022-10-07 13:30:36,1.008,not used,J,C,06,F,13
180,JC06F13,8,2022-10-07 13:30:45,0.892,not used,J,C,06,F,13
181,JC06F13,9,2022-10-07 13:30:53,0.965,not used,J,C,06,F,13
182,JC06F13,10,2022-10-07 13:31:01,0.843,not used,J,C,06,F,13
183,JC06F13,11,2022-10-07 13:31:09,1.019,not used,J,C,06,F,13
184,JC06F13,12,2022-10-07 13:31:16,0.888,not used,J,C,06,F,13
185,JC06F13,13,2022-10-07 13:31:23,0.932,not used,J,C,06,F,13
186,JC06F13,14,2022-10-07 13:31:32,0.995,not used,J,C,06,F,13
187,JC06F13,15,2022-10-07 13:31:39,0.895,not used,J,C,06,F,13
188,JC06F13,16,2022-10-07 13:31:47,0.939,not used,J,C,06,F,13
189,JC06F13,17,2022-10-07 13:31:55,0.878,not used,J,C,06,F,13
190,JC06F13,18,2022-10-07 13:32:02,0.988,not used,J,C,06,F,13
191,JC06F13,19,2022-10-07 13:32:09,0.998,not used,J,C,06,F,13
192,JC06F13,20,2022-10-07 13:32:17,1.032,not used,J,C,06,F,13
193,JC06F13,21,2022-10-07 13:32:25,1.039,not used,J,C,06,F,13
194,JC06F13,22,2022-10-07 13:32:31,0.981,not used,J,C,06,F,13
195,JC06F13,23,2022-10-07 13:32:39,0.985,not used,J,C,06,F,13
196,JC06F13,24,2022-10-07 13:32:45,0.961,not used,J,C,06,F,13
197,JC06F13,25,2022-10-07 13:32:51,0.938,not used,J,C,06,F,13
198,JC06F13,26,2022-10-07 13:33:03,0.919,not used,J,C,06,F,13
199,JC06F13,27,2022-10-07 13:33:12,0.762,not used,J,C,06,F,13
200,JC06F13,28,2022-10-07 13:33:19,0.884,not used,J,C,06,F,13
201,JC06F13,29,2022-10-07 13:33:27,0.908,not used,J,C,06,F,13
202,JC06F13,30,2022-10-07 13:33:34,0.774,not used,J,C,06,F,13
203,JC06F13,31,2022-10-07 13:33:42,0.949,not used,J,C,06,F,13
204,JC06F13,32,2022-10-07 13:33:49,0.855,not used,J,C,06,F,13
205,JC06F13,33,2022-10-07 13:33:56,0.901,not used,J,C,06,F,13
206,JC06F13,34,2022-10-07 13:34:02,1.033,not used,J,C,06,F,13
207,JC06F13,35,2022-10-07 13:34:09,0.798,not used,J,C,06,F,13
208,JC06F13,36,2022-10-07 13:34:15,0.965,not used,J,C,06,F,13
209,JC06F13,37,2022-10-07 13:34:21,1.076,not used,J,C,06,F,13
210,JC06F13,38,2022-10-07 13:34:27,0.847,not used,J,C,06,F,13
211,JC06F13,39,2022-10-07 13:34:34,0.955,not used,J,C,06,F,13
212,JC06F13,40,2022-10-07 13:34:44,0.893,not used,J,C,06,F,13
213,JC06F13,41,2022-10-07 13:34:50,0.922,not used,J,C,06,F,13
214,JC06F13,42,2022-10-07 13:34:59,1.151,not used,J,C,06,F,13
215,JC06F13,43,2022-10-07 13:35:11,0.955,not used,J,C,06,F,13
216,JC06F13,44,2022-10-07 13:35:18,0.870,not used,J,C,06,F,13
217,JC06F13,45,2022-10-07 13:35:25,0.781,not used,J,C,06,F,13
218,JC06F13,46,2022-10-07 13:35:33,0.858,not used,J,C,06,F,13
219,JC06F13,47,2022-10-07 13:35:39,1.114,not used,J,C,06,F,13
220,JC06F13,48,2022-10-07 13:35:45,0.893,not used,J,C,06,F,13
221,JC06F13,49,2022-10-07 13:35:52,0.863,not used,J,C,06,F,13
222,JC06F13,50,2022-10-07 13:36:00,0.891,not used,J,C,06,F,13
223,JC06F13,51,2022-10-07 13:36:07,0.990,not used,J,C,06,F,13
224,JC06F13,52,2022-10-07 13:36:14,1.072,not used,J,C,06,F,13
225,JC06F13,53,2022-10-07 13:36:23,0.952,not used,J,C,06,F,13
226,JC06F13,54,2022-10-07 13:36:30,0.883,not used,J,C,06,F,13
227,JC06F13,55,2022-10-07 13:36:38,0.949,not used,J,C,06,F,13
